ChemSA
Įvairūs;2;Robertas Petrauskas;Kaip NATO fonetinėje abėcėlėje šifruojama raidė R?;Romeo,Rembo,Raily,Rodeo;Romeo;2
Lietuva;2;Robertas Petrauskas;Kokia įstaiga dabar įsikūrus Raudonės pilyje?;Savivaldybės administracija,Viešoji biblioteka,Mokykla,Kraštotyros muziejus;Mokykla;3
Anotomija ir medicina;2;Rimantas Valiukonis;Kiek žmogaus ląstelė turi chromosomų porų?;20,21,22,23;23;3
Lietuva;2;Robertas Petrauskas;Kokia įstaiga dabar įsikūrus Raudonės pilyje?;Savivaldybės administracija,Viešoji biblioteka,Mokykla,Kraštotyros muziejus;Mokykla;3
Įvairūs;2;Antoni;Kaip NATO fonetinėje abėcėlėje šifruojama raidė R?;Romeo,Rembo,Raily,Rodeo;Romeo;2
Anotomija ir medicina;2;Antoni;Koks augalas vienos rūšies žinduoliui sukelia euforiją, o kitos rūšies žinduolį nuramina?;Kanapė,Durniaropė,Valerijonas,Aguona;Valerijonas;2
Įvairūs;3;Antoni;Kaip iššifruojama santrumpa DNR?;Deoksiribonukleorūgštis,Deoksinorūgšits,Deoksidooksidorūgštis,Deoksiribonukleonidorūgštis;Deoksiribonukleorūgštis;5
Įvairūs;2;Antoni;Koks augalas lotyniškai vadinasi Urtica?;Pienė,Dilgėlė,Usnis,Melisa;Dilgėlė;3
Lietuva;2;Robertas Petrauskas;Kokia įstaiga dabar įsikūrus Raudonės pilyje?;Savivaldybės administracija,Viešoji biblioteka,Mokykla,Kraštotyros muziejus;Mokykla;3
Geografija;2;Antoni;Prie kokios jūros įsikūręs Vladivostokas?;Rytų Sibiro,Japonijos,Čiukčių,Beringo;Japonijos;2
Įvairūs;2;Antoni;Kokį gėrimą italai vadina spumante?;Anyžinę dektinę,Baltąjį vyną,Putojantį vyną,Raudonąjį vyną;Putojantį vyną;3
Geografija;2;Antoni;Kokios valstybės pavadinimas išvertus į lietuvių kalbą reiškia "Sidabro žemė"?;Siera Leonė,Australija,Islandija,Argentina;Argentina;3
